,Unnamed: 0,ID,Title,link,imgStatus,rating
27,27,27,Ayam Brand Mackerel in Tomato Sauce (230g),shopee.com.my/Ayam-Brand-Mackerel-in-Tomato-Sauce-(230g)-i.41985388.3819859278?sp_atk=f56f740e-20d0-4e6b-b6c5-c319f769e597,Found,4.8
28,28,28,Surah Yasin & Tahlil MT007 - 4 Colours,shopee.com.my/Surah-Yasin-Tahlil-MT007-4-Colours-i.41985388.8313518994?sp_atk=745849a4-6114-4da2-816e-14ce13130ef6,Found,5
29,29,29,Dutch Lady Gum 123 (850g) - 3 Flavours,shopee.com.my/Dutch-Lady-Gum-123-(850g)-3-Flavours-i.41985388.9042600724?sp_atk=96ef1308-1877-4892-8d74-482cd3d24c23,Found,4.9
30,30,30,Cap Rambutan Thai Super Special Rice (5kg),shopee.com.my/Cap-Rambutan-Thai-Super-Special-Rice-(5kg)-i.41985388.5907001906?sp_atk=2913d255-69cf-4252-aba0-9b3aedf40223,Found,4.9
31,31,31,F&N Chocolate Sweetened Creamer Tube (180g),shopee.com.my/F-N-Chocolate-Sweetened-Creamer-Tube-(180g)-i.41985388.2109640687?sp_atk=4ea5d55a-9929-448a-a2fe-cbded45d74df,Found,4.9
32,32,32,Intimate Regular Box Unscented Pantyliner 100's P47B,shopee.com.my/Intimate-Regular-Box-Unscented-Pantyliner-100's-P47B-i.41985388.2663107366?sp_atk=875074e8-cd97-46d9-9027-4597321e2e31,Found,4.9
33,33,33,Baba's Fish Curry Powder 25g,shopee.com.my/Baba's-Fish-Curry-Powder-25g-i.41985388.5739497124?sp_atk=3dc1618c-8912-42fe-8dd3-7268d6de527d,Found,5.0
34,34,34,Oreo Mini Sandwich Cookies (8s x 20.4g) Original,shopee.com.my/Oreo-Mini-Sandwich-Cookies-(8s-x-20.4g)-Original-i.41985388.6402970206?sp_atk=164f74b7-8d7b-4dfe-a66f-ac613eebaced,Found,4.9
35,35,35,Nestle Honey Stars (80g),shopee.com.my/Nestle-Honey-Stars-(80g)-i.41985388.6118311046?sp_atk=cd8e911a-f612-49d9-82d8-cfc9270fa387,Found,4.9
36,36,36,Faiza Enrich Flour 1Kg,shopee.com.my/Faiza-Enrich-Flour-1Kg-i.41985388.4320536925?sp_atk=d51e26f3-59fa-42eb-8a4f-641784932a41,Found,5.0
37,37,37,Jati Super Special Rice (5kg),shopee.com.my/Jati-Super-Special-Rice-(5kg)-i.41985388.3747694414?sp_atk=d75e98b9-e7f1-4250-ab6e-94c79ce084d7,Found,4.9
38,38,38,Libresse Maximum Security Panties - L (2's),shopee.com.my/Libresse-Maximum-Security-Panties-L-(2's)-i.41985388.2697896018?sp_atk=abe8ec38-4130-4bd2-8eba-0e028813b000,Found,4.9
39,39,39,Mi Sedaap Instant Cup Goreng Asli (85g),shopee.com.my/Mi-Sedaap-Instant-Cup-Goreng-Asli-(85g)-i.41985388.7220399741?sp_atk=bb8e06e3-0674-40e2-b6f5-55f7f6397d38,Found,4.9
40,40,40,Ayam Brand U.H.T. Trim Coconut Milk 200ml,shopee.com.my/Ayam-Brand-U.H.T.-Trim-Coconut-Milk-200ml-i.41985388.4641323655?sp_atk=f93b1b83-6b8d-48af-bf9a-293920b1baaa,Found,4.9
41,41,41,Munchy's Lexus Chocolate Sandwich Cracker 190g,shopee.com.my/Munchy's-Lexus-Chocolate-Sandwich-Cracker-190g-i.41985388.7713726576?sp_atk=9db60c2d-d7f4-4e06-b3fc-9401a57f2917,Found,4.9
42,42,42,Mahsuri Hot Sweet Soy Sauce 410ml,shopee.com.my/Mahsuri-Hot-Sweet-Soy-Sauce-410ml-i.41985388.5745972111?sp_atk=659bcd81-a42a-4cde-baff-6ddde28ab13c,Found,5.0
43,43,43,Indomie Instant Noodles Green Chili Flavour (85g x 5),shopee.com.my/Indomie-Instant-Noodles-Green-Chili-Flavour-(85g-x-5)-i.41985388.2559524845?sp_atk=789e0cbd-02c0-481b-ab48-ce6ceb6cab0f,Found,4.9
44,44,44,Tiger Biscuit Chocolate (159.6g),shopee.com.my/Tiger-Biscuit-Chocolate-(159.6g)-i.41985388.5905431604?sp_atk=d9c1316b-736e-49d1-811d-10dca4754744,Found,4.9
45,45,45,Fruiser Moisturising Hand Wash - 2 Variants (500ml x 2),shopee.com.my/Fruiser-Moisturising-Hand-Wash-2-Variants-(500ml-x-2)-i.41985388.2095440400?sp_atk=76ab043f-df6a-4c42-b97f-1d2b69573494,Found,4.9
46,46,46,Gillette Daisy Classic 5 Razors,shopee.com.my/Gillette-Daisy-Classic-5-Razors-i.41985388.2471810710?sp_atk=6173258f-d8cd-4c8b-90e0-3205bb3cb4df,Found,5.0
47,47,47,Munchy's CHOC-O Chocolate Chip Cookies (235g) - 3 Variants,shopee.com.my/Munchy's-CHOC-O-Chocolate-Chip-Cookies-(235g)-3-Variants-i.41985388.4517995524?sp_atk=c6f0c42d-8b2a-4dc1-a1bd-7bc260c307dc,Found,4.9
48,48,48,Alishan Button Mushroom (425g),shopee.com.my/Alishan-Button-Mushroom-(425g)-i.41985388.7445632196?sp_atk=7cbd0c1d-14bb-4ca4-9e87-3073afb89cae,Found,4.9
49,49,49,Sumo Calrose Rice 5kg,shopee.com.my/Sumo-Calrose-Rice-5kg-i.41985388.4106779627?sp_atk=6d31d22e-44e5-4446-8d95-ce8dee88bc31,Found,5.0
50,50,50,Nestle Nestum Cereal Drink Original FOC 50gm (500g),shopee.com.my/Nestle-Nestum-Cereal-Drink-Original-FOC-50gm-(500g)-i.41985388.2325421649?sp_atk=dfc20f58-4159-42b9-88f8-d2b3c2145360,Found,4.9
51,51,51,Nestlé Milo 3 in 1 Nutritious Chocolate Milk Drink (8's x 33g),shopee.com.my/Nestlé-Milo-3-in-1-Nutritious-Chocolate-Milk-Drink-(8's-x-33g)-i.41985388.2878866280?sp_atk=559a46d5-3ff2-40e8-aba0-a68746e74312,Found,4.9
52,52,52,Nestle Nestum 3 in 1 - 2 Flavours,shopee.com.my/Nestle-Nestum-3-in-1-2-Flavours-i.41985388.3643479667?sp_atk=bd8a0135-f01d-4e7e-b512-ea18fb6c19cc,Found,5.0
53,53,53,Mudim Kicap Lemak Manis (800g),shopee.com.my/Mudim-Kicap-Lemak-Manis-(800g)-i.41985388.4632945589?sp_atk=60ac083d-49a0-4c34-a16f-208f3c1ef96c,Found,5.0
54,54,54,Safi Kayu Sugi Toothpaste (250g),shopee.com.my/Safi-Kayu-Sugi-Toothpaste-(250g)-i.41985388.2666804630?sp_atk=efa60ced-86c8-43e5-8655-22068bb2a032,Found,4.9
55,55,55,Drinho Soya Bean Milk (1L),shopee.com.my/Drinho-Soya-Bean-Milk-(1L)-i.41985388.2879440311?sp_atk=7974d73b-a885-4f06-917d-0d4b774ecef2,Found,5.0
56,56,56,Super 3 in 1 Charcoal Roasted White Coffee Classic (15 x 40g),shopee.com.my/Super-3-in-1-Charcoal-Roasted-White-Coffee-Classic-(15-x-40g)-i.41985388.7717396896?sp_atk=8ae3e4fe-bda3-40ab-95fa-50b6c33ac22f,Found,4.9
57,57,57,Sajimayo Mayonaise Dressing 1L,shopee.com.my/Sajimayo-Mayonaise-Dressing-1L-i.41985388.3620681849?sp_atk=d7326bb9-b0a4-4c2c-9ee5-e572167c2294,Found,5.0
58,58,58,Moghul Faiza Basmathi Rice 1kg,shopee.com.my/Moghul-Faiza-Basmathi-Rice-1kg-i.41985388.2849951734?sp_atk=68ab340e-429a-41b2-9515-a2607a47de3c,Found,4.9
59,59,59,Softlan Anti-Wrinkles Fabric Conditioner Economy Pack (500ml) - 4 Variants,shopee.com.my/Softlan-Anti-Wrinkles-Fabric-Conditioner-Economy-Pack-(500ml)-4-Variants-i.41985388.3113690615?sp_atk=1e1fc85e-135e-43d5-bbbd-1a119def7ed9,Found,4.9
